"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상","2020년06월_남_총인구수","2020년06월_남_연령구간인구수","2020년06월_남_0~9세","2020년06월_남_10~19세","2020년06월_남_20~29세","2020년06월_남_30~39세","2020년06월_남_40~49세","2020년06월_남_50~59세","2020년06월_남_60~69세","2020년06월_남_70~79세","2020년06월_남_80~89세","2020년06월_남_90~99세","2020년06월_남_100세 이상","2020년06월_여_총인구수","2020년06월_여_연령구간인구수","2020년06월_여_0~9세","2020년06월_여_10~19세","2020년06월_여_20~29세","2020년06월_여_30~39세","2020년06월_여_40~49세","2020년06월_여_50~59세","2020년06월_여_60~69세","2020년06월_여_70~79세","2020년06월_여_80~89세","2020년06월_여_90~99세","2020년06월_여_100세 이상"
"경기도 파주시 적성면(4148037000)","7,618","7,618","593","540","950","881","871","1,238","1,191","913","372","67","2","4,075","4,075","300","307","591","492","502","671","635","421","141","15","0","3,543","3,543","293","233","359","389","369","567","556","492","231","52","2"
"경기도 파주시 장단출장소(4148038700)","572","572","20","38","61","48","76","102","94","91","40","2","0","292","292","10","14","33","25","53","52","49","39","16","1","0","280","280","10","24","28","23","23","50","45","52","24","1","0"
"경기도 파주시 진동면(4148040000)","157","157","5","11","4","9","16","27","33","34","16","2","0","85","85","1","3","4","5","5","19","17","21","8","2","0","72","72","4","8","0","4","11","8","16","13","8","0","0"
"경기도 파주시 금촌1동(4148051000)","22,621","22,621","1,252","1,562","3,484","2,924","3,398","4,241","3,022","1,797","808","118","15","11,941","11,941","647","836","1,925","1,719","1,827","2,380","1,497","800","277","27","6","10,680","10,680","605","726","1,559","1,205","1,571","1,861","1,525","997","531","91","9"
"경기도 파주시 금촌2동(4148052000)","33,663","33,663","3,598","4,324","4,288","4,776","6,217","5,122","2,697","1,726","793","111","11","16,510","16,510","1,856","2,231","2,150","2,413","2,994","2,608","1,244","703","282","27","2","17,153","17,153","1,742","2,093","2,138","2,363","3,223","2,514","1,453","1,023","511","84","9"
"경기도 파주시 금촌3동(4148053000)","27,436","27,436","2,448","2,793","3,812","3,796","4,375","4,583","2,999","1,708","818","100","4","14,098","14,098","1,226","1,471","2,074","2,057","2,270","2,381","1,498","771","319","29","2","13,338","13,338","1,222","1,322","1,738","1,739","2,105","2,202","1,501","937","499","71","2"
"경기도 파주시 교하동(4148054000)","41,046","41,046","4,043","5,495","4,482","5,187","8,344","6,453","3,762","2,108","1,003","158","11","20,887","20,887","2,055","2,885","2,458","2,586","4,188","3,476","1,918","932","359","29","1","20,159","20,159","1,988","2,610","2,024","2,601","4,156","2,977","1,844","1,176","644","129","10"
"경기도 파주시 운정1동(4148055000)","45,308","45,308","5,302","5,880","5,076","6,698","8,964","6,621","3,741","2,023","870","123","10","22,240","22,240","2,712","2,966","2,464","3,273","4,430","3,322","1,826","885","330","30","2","23,068","23,068","2,590","2,914","2,612","3,425","4,534","3,299","1,915","1,138","540","93","8"
"경기도 파주시 운정2동(4148056000)","62,725","62,725","9,247","7,522","6,705","12,205","12,307","7,186","4,048","2,393","975","135","2","30,650","30,650","4,695","3,777","3,094","6,165","6,170","3,543","1,842","957","371","35","1","32,075","32,075","4,552","3,745","3,611","6,040","6,137","3,643","2,206","1,436","604","100","1"
"경기도 파주시 운정3동(4148057000)","73,858","73,858","8,476","8,828","8,990","11,613","14,760","10,497","5,804","3,291","1,425","168","6","36,290","36,290","4,385","4,557","4,430","5,722","7,292","5,220","2,711","1,383","547","42","1","37,568","37,568","4,091","4,271","4,560","5,891","7,468","5,277","3,093","1,908","878","126","5"
"경기도 이천시 (4150000000)","218,465","218,465","19,432","23,356","29,636","30,734","34,856","35,092","24,850","12,926","6,582","936","65","113,002","113,002","10,012","12,306","16,744","16,415","18,038","18,203","12,675","5,961","2,403","226","19","105,463","105,463","9,420","11,050","12,892","14,319","16,818","16,889","12,175","6,965","4,179","710","46"
"경기도 이천시 장호원읍(4150025000)","14,801","14,801","1,014","1,408","1,571","1,545","2,083","2,549","2,325","1,417","788","90","11","7,544","7,544","523","745","942","811","1,093","1,314","1,149","656","280","27","4","7,257","7,257","491","663","629","734","990","1,235","1,176","761","508","63","7"
"경기도 이천시 부발읍(4150025300)","36,096","36,096","3,478","4,539","4,916","5,228","6,763","5,461","3,257","1,569","779","101","5","18,867","18,867","1,756","2,343","2,886","2,764","3,478","2,915","1,692","720","292","21","0","17,229","17,229","1,722","2,196","2,030","2,464","3,285","2,546","1,565","849","487","80","5"
"경기도 이천시 신둔면(4150031000)","13,600","13,600","1,060","1,137","1,653","1,796","1,937","2,544","1,962","984","438","83","6","7,165","7,165","538","632","903","969","1,065","1,344","1,051","471","171","19","2","6,435","6,435","522","505","750","827","872","1,200","911","513","267","64","4"
"경기도 이천시 백사면(4150032000)","11,118","11,118","817","850","1,282","1,255","1,622","2,148","1,667","902","484","87","4","5,662","5,662","419","451","700","642","865","1,089","850","426","196","24","0","5,456","5,456","398","399","582","613","757","1,059","817","476","288","63","4"
"경기도 이천시 호법면(4150033000)","6,207","6,207","331","715","702","663","733","1,110","1,025","571","308","48","1","3,332","3,332","176","426","377","394","436","607","533","260","113","10","0","2,875","2,875","155","289","325","269","297","503","492","311","195","38","1"
"경기도 이천시 마장면(4150034000)","13,796","13,796","1,382","1,586","1,994","2,251","1,852","1,905","1,513","826","416","65","6","7,546","7,546","694","908","1,212","1,284","1,061","1,032","797","389","147","20","2","6,250","6,250","688","678","782","967","791","873","716","437","269","45","4"
"경기도 이천시 대월면(4150035000)","14,512","14,512","1,277","1,238","2,503","2,580","2,103","1,996","1,475","875","390","71","4","7,407","7,407","665","612","1,260","1,373","1,143","1,062","746","388","142","14","2","7,105","7,105","612","626","1,243","1,207","960","934","729","487","248","57","2"
"경기도 이천시 모가면(4150036000)","4,452","4,452","156","260","403","357","512","887","933","548","354","40","2","2,395","2,395","88","141","253","227","299","489","495","261","130","12","0","2,057","2,057","68","119","150","130","213","398","438","287","224","28","2"
"경기도 이천시 설성면(4150037000)","4,822","4,822","194","240","406","401","511","913","1,000","667","419","64","7","2,545","2,545","92","132","231","247","309","506","531","326","158","10","3","2,277","2,277","102","108","175","154","202","407","469","341","261","54","4"
"경기도 이천시 율면(4150038000)","2,688","2,688","71","122","193","144","257","462","643","405","338","49","4","1,383","1,383","42","64","110","90","162","241","339","196","123","15","1","1,305","1,305","29","58","83","54","95","221","304","209","215","34","3"
"경기도 이천시 창전동(4150051000)","17,316","17,316","1,032","1,578","2,777","2,235","2,633","3,062","2,334","1,126","484","51","4","8,594","8,594","537","812","1,478","1,237","1,273","1,453","1,101","525","164","14","0","8,722","8,722","495","766","1,299","998","1,360","1,609","1,233","601","320","37","4"
"경기도 이천시 증포동(4150051500)","53,981","53,981","7,055","7,903","6,708","8,520","10,455","7,748","3,396","1,416","683","94","3","26,959","26,959","3,653","4,148","3,531","4,098","5,034","3,954","1,711","596","218","15","1","27,022","27,022","3,402","3,755","3,177","4,422","5,421","3,794","1,685","820","465","79","2"
"경기도 이천시 중리동(4150052000)","14,759","14,759","971","954","3,009","2,389","1,884","2,346","1,818","914","414","55","5","8,318","8,318","515","499","2,056","1,481","1,029","1,202","917","437","164","15","3","6,441","6,441","456","455","953","908","855","1,144","901","477","250","40","2"
"경기도 이천시 관고동(4150053000)","10,317","10,317","594","826","1,519","1,370","1,511","1,961","1,502","706","287","38","3","5,285","5,285","314","393","805","798","791","995","763","310","105","10","1","5,032","5,032","280","433","714","572","720","966","739","396","182","28","2"
"경기도 안성시 (4155000000)","185,305","185,305","14,484","18,483","22,027","23,199","30,104","31,066","24,065","13,456","7,384","981","56","95,447","95,447","7,435","9,665","12,118","12,637","16,090","16,446","12,094","6,132","2,617","201","12","89,858","89,858","7,049","8,818","9,909","10,562","14,014","14,620","11,971","7,324","4,767","780","44"
"경기도 안성시 공도읍(4155025000)","58,071","58,071","6,136","7,489","6,621","8,421","11,856","8,380","4,995","2,761","1,257","149","6","29,241","29,241","3,084","3,892","3,489","4,370","6,068","4,351","2,325","1,208","417","36","1","28,830","28,830","3,052","3,597","3,132","4,051","5,788","4,029","2,670","1,553","840","113","5"
"경기도 안성시 보개면(4155031000)","5,485","5,485","185","313","526","436","578","1,081","1,132","719","452","58","5","2,900","2,900","101","181","311","269","344","597","603","320","165","9","0","2,585","2,585","84","132","215","167","234","484","529","399","287","49","5"
"경기도 안성시 금광면(4155032000)","7,568","7,568","460","686","723","701","1,114","1,335","1,329","702","450","65","3","3,803","3,803","251","350","390","367","596","687","686","304","161","10","1","3,765","3,765","209","336","333","334","518","648","643","398","289","55","2"
"경기도 안성시 서운면(4155033000)","3,425","3,425","90","153","302","271","360","701","731","472","308","35","2","1,803","1,803","57","85","184","158","216","391","373","214","116","8","1","1,622","1,622","33","68","118","113","144","310","358","258","192","27","1"
